Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,285,285.000,658,1940,2924,3509,4245,6133,7884,11989,21546
1,337,337.000,463,1591,2431,2934,3712,5579,6474,8351,9426
2,391,391.000,349,1494,2159,2547,3246,4303,5223,7686,8684
3,397,397.000,303,1483,2165,2502,3251,4190,5014,7300,9564
4,413,413.000,212,1434,2019,2411,3138,4150,4974,7072,8558
5,421,421.000,230,1451,1949,2360,3157,4077,4759,6421,8083
6,406,406.000,240,1459,2212,2463,3238,3960,4720,6670,7321
7,444,444.000,254,1354,1881,2228,2937,3700,4523,6569,8136
8,427,427.000,233,1348,1955,2332,3034,4209,4833,6553,7339
9,415,415.000,216,1364,2001,2397,3079,4257,5124,6879,10359
10,435,435.000,171,1386,2057,2288,2931,3746,4431,6707,8026
11,404,404.000,148,1384,2116,2462,3327,4305,5552,7164,8288
12,426,426.000,204,1362,1999,2332,3066,3995,4703,6188,7859
13,423,423.000,267,1417,2011,2354,2976,3951,4945,7058,7758
14,431,431.000,251,1406,2101,2313,3043,3691,4405,5905,7573
15,419,419.000,196,1400,2009,2372,3104,3992,4685,6687,8191
16,432,432.000,265,1350,1947,2309,3038,4000,4631,6559,7431
17,444,444.000,199,1391,1891,2241,2875,3764,4310,7294,8508
18,407,407.000,221,1467,2201,2443,3146,4199,4694,6950,7372
19,461,461.000,185,1343,1789,2163,2832,3687,4380,6481,7347
20,428,428.000,237,1410,2147,2328,2999,3735,4201,6831,8648
21,439,439.000,195,1370,1934,2268,2933,3839,4515,6640,7885
22,428,428.000,213,1376,2085,2340,3043,4028,4601,6621,7552
23,435,435.000,225,1338,1912,2280,2926,4002,4775,7009,7939
24,422,422.000,235,1365,2028,2361,3068,4113,4866,6957,8124
25,397,397.000,206,1437,2217,2514,3285,4359,5466,7232,7701
26,447,447.000,232,1332,1871,2225,2826,3971,4582,6895,7400
27,421,421.000,201,1399,2076,2367,2960,3936,5012,7201,8335
28,437,437.000,186,1346,1871,2280,3135,3971,4505,6149,6854
29,424,424.000,251,1354,2047,2361,3107,4106,5078,6671,7412
30,418,418.000,228,1427,2032,2375,3027,4036,4994,6789,7522
31,420,420.000,246,1343,2034,2381,3008,4134,5984,7030,7515
32,434,434.000,192,1369,1899,2288,3049,3786,4438,6672,8564
33,439,439.000,173,1385,1865,2267,2937,3937,4603,5799,6598
34,451,451.000,182,1326,1868,2210,2905,3765,4203,6272,7396
35,423,423.000,210,1356,1883,2355,2958,4129,5428,7203,8597
36,415,415.000,208,1353,2115,2403,3141,3946,4986,7256,8667
37,443,443.000,264,1339,1861,2248,2901,3914,4293,6959,7871
38,447,447.000,225,1364,1846,2232,2866,3813,4489,6552,9469
39,441,441.000,238,1341,1984,2256,2845,3797,4524,7028,8667
40,428,428.000,213,1344,1972,2328,3002,4114,5184,6988,9565
41,462,462.000,201,1337,1859,2157,2834,3673,4293,6128,7149
42,423,423.000,147,1320,2039,2353,3105,3988,4802,6813,7510
43,433,433.000,143,1325,2081,2308,3037,4038,4802,6682,8195
44,458,458.000,177,1307,1774,2175,2903,3798,4316,6400,7525
45,441,441.000,188,1354,1870,2255,2803,3883,4610,6492,7435
46,438,438.000,204,1352,1915,2277,2975,3973,4502,6115,6545
47,405,405.000,213,1394,2205,2457,3177,4009,4998,8347,10687
48,429,429.000,212,1381,1948,2324,2935,4048,4733,7148,7795
49,402,402.000,232,1466,2046,2478,3179,4061,4881,8076,9345
50,395,395.000,186,1499,2137,2524,3342,4203,4639,8131,8502
51,387,387.000,206,1494,2344,2579,3440,4227,5074,8084,9178
52,397,397.000,224,1455,2283,2503,3277,4085,5028,6895,8185
53,381,381.000,264,1504,2280,2614,3394,4428,5222,7278,10126
54,384,384.000,183,1479,2226,2595,3233,4593,5682,7727,10896
55,409,409.000,158,1466,2276,2438,3152,4026,4705,6214,8071
56,424,424.000,211,1407,2069,2345,2960,4103,4807,7507,8040
57,412,412.000,187,1398,2160,2420,3187,4231,5016,6717,7177
58,428,428.000,220,1363,1925,2334,3087,4093,5026,6451,7277
59,415,415.000,215,1438,2172,2392,3093,3992,4466,6278,7425
